,metric,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,importance
705,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,,,,9.243760459199583e-05
1168,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,,,,9.189237384353131e-05
821,cosine,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_characters,get_2grams,,,9.179661147364215e-05
1243,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,get_3grams,,,9.147582745217733e-05
833,cosine,sentence_to_doc,get_tokens,get_stopwords,get_token_text,remove_non_alnum,,,,9.094998991228627e-05
123,manhattan,sentence_to_doc,chunk_NEs,get_synsets,get_3grams,,,,,9.087500951019447e-05
351,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_4grams,,,,9.063234663316183e-05
282,euclidean,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,get_3grams,,,,9.057989357825555e-05
147,manhattan,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,,,,,9.051856727516464e-05
1161,cosine,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,get_characters,get_3grams,,,9.035931039767045e-05
800,jaccard,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,remove_non_alnum,,,,9.023993359618379e-05
793,cosine,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,get_characters,get_3grams,,,8.984580741870879e-05
1744,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,,,8.912845044237657e-05
1233,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,,,,8.871841239227465e-05
249,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_3grams,,,,8.870364701929216e-05
655,manhattan,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_4grams,,,8.848654762071147e-05
505,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_3grams,,,,8.777608439411485e-05
1774,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,remove_non_alnum,get_characters,get_4grams,,8.763820364498903e-05
710,euclidean,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_2grams,,,8.73136019965806e-05
1477,cosine,sentence_to_doc,get_tokens,get_stopwords,get_token_text,remove_non_alnum,get_characters,get_2grams,,8.71631911019693e-05
1159,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,get_characters,get_2grams,,,8.706261946945825e-05
1154,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,get_characters,,,,8.694126657932285e-05
1182,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,get_4grams,,,8.684722244927028e-05
1641,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_3grams,,8.67816781559603e-05
191,manhattan,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_4grams,,,,8.671838685073086e-05
263,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,get_2grams,,,,8.658256703278443e-05
1200,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,remove_non_alnum,,,,8.652469060989273e-05
1019,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_3grams,,,8.620089556449235e-05
1347,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_characters,,,8.599581497042471e-05
322,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_token_text,,,,,8.592350833553398e-05
810,euclidean,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,remove_non_alnum,get_3grams,,,8.591063632941449e-05
869,cosine,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_2grams,,,8.54986043287201e-05
575,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_4grams,,,,8.537934661939077e-05
474,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_3grams,,,,8.483346568242131e-05
336,jaccard,sentence_to_doc,get_tokens,get_stopwords,get_synsets,,,,,8.476518333858882e-05
823,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_characters,get_2grams,,,8.432411127949499e-05
84,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_2grams,,,,,8.387328038887408e-05
